Width,Register Renaming,Instructions,Cycles,IPC
1,true,14692,44076,0.3333333333333333
1,false,14692,44076,0.3333333333333333
2,true,14692,22039,0.6666364172603113
2,false,14692,22039,0.6666364172603113
4,true,14692,11658,1.260250471779036
4,false,14692,12021,1.2221944929706348
8,true,14692,7198,2.0411225340372328
8,false,14692,8594,1.7095648126599954
16,true,14692,5642,2.6040411201701525
16,false,14692,7905,1.8585705249841873
32,true,14692,5358,2.742067935796939
32,false,14692,7861,1.8689734130517746
64,true,14692,5341,2.7507957311364915
64,false,14692,7861,1.8689734130517746
128,true,14692,5341,2.7507957311364915
128,false,14692,7861,1.8689734130517746
512,true,14692,5341,2.7507957311364915
512,false,14692,7861,1.8689734130517746
1024,true,14692,5341,2.7507957311364915
1024,false,14692,7861,1.8689734130517746
